Date,1st Service,2nd Service,third xmas,single service,Services,Day of Week,Secular Holiday,Religious Holiday,Alternate Pastor,Church Event,Weather Event,Precipitation,Snow,SnowDepth,DougCtySchoolOut
12/5/18,59,,,Pre,1,4,0,1,0,0,0,,,,0
12/9/18,91,99,,Pre,2,1,0,0,0,0,0,,,,0
12/12/18,64,,,Pre,2,4,0,1,0,0,0,,,,0
12/16/18,61,64,,Pre,2,1,0,0,0,0,0,,,,0
12/19/18,55,,,Pre,1,4,0,1,0,0,0,,,,0
12/23/18,88,69,,Pre,2,1,0,0,0,0,0,,,,1
12/24/18,189,72,72,Pre,3,2,0,1,0,0,0,,,,1
12/25/18,104,,,Pre,1,3,0,1,0,0,0,,,,1
12/30/18,54,58,,Pre,2,1,0,0,0,0,0,,,,1
1/6/19,89,81,,Pre,2,1,0,0,0,0,0,,,,0
1/13/19,78,87,,Pre,2,1,0,0,0,0,0,0,0.1,5.5,0
1/20/19,75,97,,Pre,2,1,0,0,0,1,0,,,,0
1/27/19,74,75,,Pre,2,1,0,0,0,0,0,0,0,3,0
2/3/19,95,85,,Pre,2,1,0,0,0,1,0,0,0,2.5,0
2/10/19,84,81,,Pre,2,1,0,0,0,0,0,,,,0
2/17/19,71,60,,Pre,2,1,0,0,0,0,0,,,,0
2/24/19,73,73,,Pre,2,1,0,0,0,0,0,0,0,3.5,0
3/3/19,42,38,,Pre,2,1,0,0,0,0,1,0.12,1.8,1.5,0
3/6/19,128,,,Pre,1,4,0,1,0,0,0,,,,0
3/10/19,,148,,Pre,2,1,0,0,0,1,0,,,,0
3/13/19,,,,Pre,0,4,0,0,0,0,1,0.22,0,0,0
3/17/19,88,78,,Pre,2,1,0,0,0,0,0,,,,1
3/20/19,44,,,Pre,1,4,0,0,1,0,0,,,,1
3/24/19,68,83,,Pre,2,1,0,0,1,0,0,,,,0
3/27/19,80,,,Pre,1,4,0,0,0,0,0,,,,0
3/31/19,80,65,,Pre,2,1,0,0,0,0,0,,,,0
4/3/19,,,,Pre,1,4,0,0,0,0,0,,,,0
4/7/19,78,79,,Pre,2,1,0,0,0,0,0,,,,0
4/10/19,,,,Pre,0,4,0,0,0,0,1,,,,0
4/14/19,85,96,,Pre,2,1,0,0,0,0,0,,,,0
4/18/19,98,,,Pre,1,5,0,1,0,0,0,0,0,0,0
4/19/19,118,,,Pre,1,6,0,1,0,0,0,,,,0
4/21/19,162,116,,Pre,2,1,0,1,0,0,0,,,,0
4/28/19,81,88,,Pre,2,1,0,0,0,0,0,,,,0
5/5/19,75,85,,Pre,2,1,0,0,0,0,0,,,,0
5/12/19,103,86,,Pre,2,1,1,0,0,0,0,,,,0
5/19/19,57,51,,Pre,2,1,0,0,0,0,0,,,,0
5/26/19,88,59,,Pre,2,1,0,0,0,0,0,,,,1
5/30/19,48,,,Pre,1,5,0,1,0,0,0,,,,1
6/2/19,94,44,,Pre,2,1,0,0,0,0,0,,,,1
6/9/19,89,62,,Pre,2,1,0,1,0,0,0,,,,1
6/16/19,90,53,,Pre,2,1,1,0,0,0,0,0.34,0,0,1
6/23/19,87,63,,Pre,2,1,0,0,0,0,0,0.51,0,0,1
6/30/19,88,47,,Pre,2,1,0,0,0,0,0,,,,1
7/7/19,161,,,Single,1,1,0,0,0,1,0,,,,1
7/14/19,139,,,Single,1,1,0,0,0,0,0,,,,1
7/21/19,121,,,Single,1,1,0,0,0,0,0,0.25,0,0,1
7/28/19,75,,,Single,1,1,0,0,0,0,0,0.45,0,0,1
8/4/19,109,,,Single,1,1,0,0,0,0,0,,,,1
8/11/19,140,,,Single,1,1,0,0,0,0,0,,,,0
8/18/19,,,,Single,1,1,0,0,0,0,0,,,,0
8/25/19,158,,,Single,1,1,0,0,0,0,0,,,,0
9/1/19,114,,,Single,1,1,1,0,0,0,0,,,,1
9/8/19,145,,,Single,1,1,0,0,0,0,0,,,,0
9/15/19,139,,,Single,1,1,0,0,1,0,0,,,,0
9/22/19,96,,,Single,1,1,0,0,1,0,0,,,,0
9/29/19,116,,,Single,1,1,0,0,0,0,0,,,,0
10/6/19,90,56,,Post,2,1,0,0,0,0,0,,,,0
10/13/19,88,75,,Post,2,1,0,0,0,0,0,,,,1
10/20/19,72,57,,Post,2,1,0,0,0,0,0,,,,0
10/27/19,62,49,,Post,2,1,0,0,0,0,1,,,,0
11/3/19,86,67,,Post,2,1,0,0,0,0,0,0,0,2,0
11/10/19,68,92,,Post,2,1,0,0,0,0,0,,,,0
11/17/19,79,51,,Post,2,1,0,0,0,1,0,,,,0
11/24/19,79,90,,Post,2,1,0,0,0,0,0,0,0,1,1
11/27/19,59,,,Post,1,4,1,0,0,0,0,0.23,3.2,10,1
12/1/19,90,78,,Post,2,1,0,0,0,0,0,0,0,4,0
12/4/19,62,,,Post,1,4,0,1,0,0,0,,,,0
12/8/19,75,58,,Post,2,1,0,0,0,0,0,,,,0
12/11/19,65,,,Post,1,4,0,1,0,0,0,,,,0
12/15/19,77,98,,Post,2,1,0,0,0,0,0,0,0.1,0,0
12/18/19,85,,,Post,1,4,0,1,0,1,0,0,0,0,0
12/22/19,81,58,,Post,2,1,0,0,0,1,0,,,,1
12/24/19,155,86,63,Post,3,3,0,1,0,0,0,,,,1
12/25/19,113,,,Post,1,4,0,1,0,0,0,,,,1
12/29/19,79,42,,Post,2,1,0,0,0,0,0,0.18,2.4,2.5,1
1/5/20,94,83,,Post,2,1,0,0,0,0,0,,,,1
1/12/20,79,81,,Post,2,1,0,0,0,0,0,,,,0
1/19/20,79,76,,Post,2,1,0,0,0,0,0,,,,1
1/26/20,64,136,,Post,2,1,0,0,0,0,0,,,,0
2/2/20,109,92,,Post,2,1,0,0,0,0,0,,,,0
